Mon,Tue,Wed,Thu,Fri,Sat,Sun,listing_id
256.333333333,256.428571429,256.428571429,256.428571429,256.923076923,255.0,255.9375,2098328.0
65.0,65.0,65.0,65.0,65.0,65.0,65.0,394395.0
75.0,75.0,75.0,75.0,75.0,75.0,75.0,4729713.0
75.0,75.0,75.0,75.0,75.0,75.0,75.0,2098348.0
200.0,200.0,200.0,200.0,200.0,200.0,200.0,3933363.0
177.083333333,177.083333333,176.8,176.8,176.734693878,177.083333333,177.083333333,66741.0
250.0,250.0,250.0,250.0,250.0,250.0,250.0,591046.0
200.0,200.0,200.0,200.0,200.0,200.0,200.0,2426055.0
95.0,95.0,95.0,95.0,95.0,95.0,95.0,4129992.0
120.0,120.0,120.0,120.0,120.0,120.0,120.0,2426057.0
400.0,400.0,400.0,400.0,400.0,400.0,400.0,1223543.0
90.0,90.0,90.0,90.0,90.0,90.0,90.0,513573.0
115.0,115.0,115.0,115.0,115.0,115.0,115.0,4785377.0
185.0,185.0,185.0,185.0,225.0,225.0,185.0,263395.0
175.0,175.0,175.0,175.0,175.0,175.0,175.0,4719848.0
95.0,95.0,95.0,95.0,95.0,95.0,95.0,3736811.0
62.0,62.0,62.0,62.0,65.0,65.0,62.0,4588780.0
33.0,33.0,33.0,33.0,33.0,33.0,33.0,1443054.0
199.0,199.0,199.0,199.0,199.0,199.0,199.0,2360559.0
105.652173913,105.555555556,107.023809524,107.5,108.125,106.428571429,106.022727273,591088.0
190.0,190.0,190.0,190.0,190.0,190.0,190.0,525558.0
125.0,125.0,125.0,125.0,125.0,125.0,125.0,853239.0
100.0,100.0,100.0,100.0,120.0,120.0,100.0,2032910.0
50.0,50.0,50.0,50.4716981132,50.4807692308,50.4807692308,50.0,4654355.0
59.0,59.0,59.0,59.0,59.0,59.0,59.0,4718809.0
193.461538462,193.461538462,193.461538462,193.58490566,200.0,200.0,193.461538462,591135.0
221.538461538,220.0,220.0,220.0,220.0,220.0,221.538461538,1836322.0
250.0,250.0,250.0,250.0,250.0,250.0,250.0,490134.0
160.551020408,159.551020408,159.959183673,160.791666667,161.5,161.5,160.574468085,197942.0
207.0,207.0,207.0,202.75,194.6875,210.333333333,207.0,1115451.0
153.111111111,154.133333333,157.886363636,161.022727273,179.902439024,181.15,164.761904762,2577973.0
130.0,130.0,130.0,130.4,131.25,131.25,130.869565217,3736898.0
142.0,142.0,142.0,142.0,142.0,143.211538462,142.0,4457795.0
259.0,259.0,259.0,259.0,259.0,259.0,259.0,1136959.0
81.0,80.9803921569,80.9803921569,80.9803921569,81.0,81.0,81.0,3278158.0
59.0,59.0,59.0,59.0,59.0,59.0,59.0,3309795.0
140.0,140.0,140.0,140.0,140.0,140.0,140.0,4631440.0
48.0,48.0,48.0,48.0,48.0,48.0,48.0,3605863.0
240.0,240.0,240.0,240.0,240.0,240.0,240.0,2360680.0
215.0,215.0,215.0,215.0,215.0,215.0,215.0,808509.0
76.1463414634,75.5476190476,75.0227272727,76.2142857143,76.1707317073,75.6829268293,76.625,3933552.0
156.365384615,156.365384615,156.365384615,156.365384615,156.294117647,156.365384615,156.365384615,4851057.0
766.326530612,776.530612245,759.803921569,759.803921569,763.541666667,764.285714286,773.958333333,3933559.0
70.0,70.0,70.0,70.0,70.0,70.0,70.0,4195712.0
80.2826086957,80.3829787234,79.4375,80.5744680851,80.6739130435,80.7608695652,79.8510638298,3933571.0
20.0,20.0,20.0,20.0,20.0,20.0,20.0,2283073.0
52.0,52.0,52.0,52.0,52.0,52.0,52.0,3605896.0
318.928571429,315.333333333,312.1875,318.214285714,332.272727273,323.928571429,319.333333333,4125327.0
88.2156862745,88.2156862745,88.2156862745,87.431372549,88.1836734694,87.9795918367,88.2156862745,4654475.0
200.0,200.0,200.0,200.0,200.0,200.0,200.0,3540364.0
250.0,250.0,250.0,250.0,250.0,250.0,250.0,2426253.0
190.0,190.0,190.0,190.0,189.230769231,189.215686275,190.0,4720017.0
160.0,160.0,160.0,160.0,160.0,160.0,160.0,4785554.0
160.7,160.7,160.7,160.0,160.5,160.816326531,160.6,4457875.0
160.0,160.0,160.0,160.0,160.0,160.0,160.0,3343765.0
30.0,30.0,30.0,30.0,30.0,30.0,30.0,3868054.0
429.0,429.0,429.0,432.20754717,549.0,549.0,429.0,3868058.0
140.0,140.0,140.0,140.0,140.0,140.0,140.0,3343777.0
85.5681818182,86.1363636364,86.0,86.0,85.5555555556,85.5555555556,85.5434782609,2164135.0
109.5,110.0,110.0,109.75,109.4375,109.4375,109.5,263601.0
279.0,279.0,279.0,279.0,279.0,279.0,279.0,4720051.0
89.0,89.0,89.0,89.0,99.0,99.0,89.0,1115574.0
85.652173913,85.652173913,85.5319148936,85.9574468085,85.7446808511,85.8695652174,85.8695652174,2950587.0
85.0,85.0,85.0,85.0,85.0,85.0,85.0,2033095.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,4589013.0
95.5,95.4347826087,95.08,96.3076923077,95.08,95.4347826087,95.56,2754006.0
80.0,80.0,80.0,80.0,80.0,80.0,80.0,1574360.0
54.0,54.0,54.0,54.0,54.0,54.0,54.0,1312224.0
325.0,325.0,325.0,325.0,350.0,350.0,325.0,787941.0
159.0,159.0,159.0,159.0,159.769230769,159.769230769,159.0,2098666.0
250.0,250.0,250.0,250.0,250.0,250.0,250.0,3933680.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,525814.0
50.0,50.0,50.0,50.0,50.0,50.0,50.0,4195836.0
140.0,140.0,140.0,140.0,140.0,140.0,140.0,787968.0
160.0,160.0,160.0,160.0,160.0,160.0,160.0,2426371.0
43.0,43.0,43.0,43.0,43.0,43.0,43.0,4720137.0
225.0,225.0,225.0,225.0,225.0,225.0,225.0,2164237.0
242.24137931,242.857142857,242.857142857,244.166666667,244.827586207,244.827586207,239.516129032,787992.0
191.896551724,194.285714286,191.896551724,191.896551724,191.896551724,191.666666667,190.517241379,861561.0
200.0,200.0,200.0,200.0,200.0,200.0,200.0,1377832.0
195.0,195.0,195.0,195.0,195.0,195.0,195.0,2360878.0
195.0,195.0,195.0,195.0,235.0,235.0,195.0,1705523.0
76.0,76.152173913,76.152173913,76.2340425532,76.2608695652,76.1063829787,76.1063829787,132661.0
178.0,178.0,178.0,178.0,178.0,178.0,178.0,788026.0
125.0,125.0,125.0,125.0,150.0,150.0,125.0,4195902.0
127.666666667,127.545454545,127.545454545,127.434782609,159.0,156.727272727,125.571428571,1584374.0
141.25,141.25,141.25,141.25,141.078431373,141.078431373,141.764705882,788035.0
350.0,350.0,350.0,350.0,350.0,350.0,350.0,3343957.0
199.980769231,198.826923077,198.826923077,198.826923077,217.653846154,217.653846154,199.980769231,722519.0
89.0,89.0,89.0,89.0,89.0,89.0,89.0,4916824.0
299.0,299.0,299.0,304.660377358,334.192307692,334.192307692,299.0,70279.0
45.0,45.0,45.0,45.0,45.0,45.0,45.0,4720227.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,3593832.0
99.0,99.0,99.0,99.0,99.0,99.0,99.0,2950773.0
85.0,85.0,85.0,85.0,85.0,85.0,85.0,2033270.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,4052512.0
164.607843137,164.607843137,164.607843137,164.607843137,165.0,165.0,165.0,4654712.0
85.8620689655,86.0714285714,86.0714285714,86.0714285714,85.9259259259,85.9259259259,85.8620689655,2457877.0
70.0,70.0,70.0,70.0,80.0,80.0,70.0,3386923.0
164.673913043,165.0,165.0,165.0,164.673913043,164.673913043,164.680851064,263814.0
150.0,150.0,150.0,150.0,150.0,150.0,150.0,2426507.0
99.0,99.0,99.0,99.0,99.0,99.0,99.0,788113.0
97.2692307692,97.2692307692,97.2692307692,98.2452830189,97.2692307692,97.2692307692,97.2692307692,949339.0
325.0,325.0,325.0,325.0,325.0,325.0,325.0,3779523.0
40.5294117647,40.5294117647,40.5294117647,40.2452830189,40.3725490196,40.3725490196,40.5294117647,3475092.0
165.0,165.0,165.0,165.0,165.227272727,165.227272727,165.217391304,263833.0
199.0,199.0,199.0,199.0,199.0,199.0,199.0,1189388.0
169.418604651,168.777777778,168.043478261,168.191489362,168.636363636,169.146341463,169.146341463,240581.0
180.0,180.0,180.0,180.0,180.0,180.0,180.0,853673.0
116.254901961,115.923076923,115.923076923,115.923076923,115.862745098,115.862745098,116.254901961,3999404.0
90.0,90.0,90.0,90.0,90.0,90.0,90.0,2426546.0
200.0,200.0,200.0,200.0,200.0,200.0,200.0,1551306.0
75.0,75.0,75.0,75.0,75.0,75.0,75.0,4196039.0
90.0,90.0,90.0,90.0,99.0,99.0,90.0,4074444.0
195.588235294,194.230769231,194.230769231,194.230769231,196.078431373,196.078431373,195.588235294,2098891.0
80.0,80.0,80.0,80.0,70.0,70.0,80.0,1144110.0
180.0,180.0,180.0,180.0,180.0,180.0,180.0,4720342.0
85.7692307692,85.0,85.0,85.7692307692,95.5882352941,95.5882352941,85.7843137255,2361050.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,3604773.0
95.625,95.5744680851,95.5744680851,95.625,97.5625,97.5625,95.625,2123398.0
274.714285714,273.714285714,275.416666667,278.194444444,296.891891892,299.571428571,275.428571429,2426615.0
350.0,350.0,350.0,350.0,350.0,350.0,350.0,3540734.0
70.0,70.0,70.0,70.0,70.0,70.0,70.0,591617.0
50.0,50.0,50.0,50.0,50.0,50.0,50.0,1246983.0
99.0,99.0,99.0,99.0,99.4038461538,99.4038461538,99.4038461538,4565976.0
75.0,75.0,75.0,75.0,75.0,75.0,75.0,4838131.0
250.0,250.0,250.0,250.0,250.0,250.0,250.0,2950937.0
